Date,Close
12/11/2013,15.41
12/12/2013,15.11
12/13/2013,15.02
12/16/2013,15.04
12/17/2013,15.11
12/18/2013,15.32
12/19/2013,15.38
12/20/2013,15.69
12/23/2013,15.78
12/24/2013,15.82
12/26/2013,15.67
12/27/2013,15.76
12/30/2013,15.97
12/31/2013,16.02
1/2/2014,15.86
1/3/2014,15.67
1/6/2014,15.88
1/7/2014,16.14
1/8/2014,16.36
1/9/2014,15.75
1/10/2014,15.73
1/13/2014,15.36
1/14/2014,15.84
1/15/2014,16.01
1/16/2014,16.06
1/17/2014,15.99
1/21/2014,16.05
1/22/2014,16.03
1/23/2014,15.97
1/24/2014,15.56
1/27/2014,15.46
1/28/2014,15.61
1/29/2014,15.46
1/30/2014,15.72
1/31/2014,15.7
2/3/2014,15.49
2/4/2014,15.58
2/5/2014,15.44
2/6/2014,15.64
2/7/2014,15.87
2/10/2014,15.92
2/11/2014,16.25
2/12/2014,16.83
2/13/2014,17.36
2/14/2014,17.91
2/18/2014,17.9
2/19/2014,18.14
2/20/2014,18.78
2/21/2014,18.64
2/24/2014,18.91
2/25/2014,18.74
2/26/2014,18.71
2/27/2014,18.5
2/28/2014,18.38
3/3/2014,18.29
3/4/2014,18.48
3/5/2014,18.64
3/6/2014,18.38
3/7/2014,18.36
3/10/2014,18.09
3/11/2014,18.27
3/12/2014,18.32
3/13/2014,17.74
3/14/2014,17.82
3/17/2014,17.82
3/18/2014,18.24
3/19/2014,18.56
3/20/2014,18.57
3/21/2014,18.54
3/24/2014,18.45
3/25/2014,18.45
3/26/2014,18.03
3/27/2014,17.79
3/28/2014,17.9
3/31/2014,17.91
4/1/2014,18.65
4/2/2014,18.53
4/3/2014,18.73
4/4/2014,18.15
4/7/2014,18.21
4/8/2014,18.86
4/9/2014,18.84
4/10/2014,18.38
4/11/2014,18.12
4/14/2014,18.32
4/15/2014,18.45
4/16/2014,18.49
4/17/2014,18.56
4/21/2014,18.71
4/22/2014,18.87
4/23/2014,19.09
4/24/2014,19.26
4/25/2014,18.73
4/28/2014,18.65
4/29/2014,18.69
4/30/2014,18.47
5/1/2014,18.57
5/2/2014,18.43
5/5/2014,18.63
5/6/2014,18.25
5/7/2014,18.27
5/8/2014,18.5
5/9/2014,18.05
5/12/2014,18.58
5/13/2014,18.28
5/14/2014,18.1
5/15/2014,18
5/16/2014,17.96
5/19/2014,18.54
5/20/2014,18.24
5/21/2014,18.24
5/22/2014,18.32
5/23/2014,18.49
5/27/2014,18.82
5/28/2014,18.98
5/29/2014,18.95
5/30/2014,19
6/2/2014,18.94
6/3/2014,18.86
6/4/2014,18.88
6/5/2014,18.96
6/6/2014,19.03
6/9/2014,19.05
6/10/2014,19.15
6/11/2014,19.4
6/12/2014,19.52
6/13/2014,19.54
6/16/2014,19.48
6/17/2014,19.61
6/18/2014,19.59
6/19/2014,19.14
6/20/2014,18.93
6/23/2014,18.71
6/24/2014,18.42
6/25/2014,18.61
6/26/2014,18.36
6/27/2014,18.38
6/30/2014,18.54
7/1/2014,18.75
7/2/2014,18.68
7/3/2014,18.85
7/7/2014,18.7
7/8/2014,18.55
7/9/2014,19.11
7/10/2014,19.01
7/11/2014,19.05
7/14/2014,19.29
7/15/2014,19.37
7/16/2014,19.35
7/17/2014,19.3
7/18/2014,18.44
7/21/2014,18.55
7/22/2014,18.47
7/23/2014,18.08
7/24/2014,18.11
7/25/2014,17.79
7/28/2014,17.72
7/29/2014,17.78
7/30/2014,18.08
7/31/2014,17.5
8/1/2014,17.69
8/4/2014,17.65
8/5/2014,17.66
8/6/2014,17.64
8/7/2014,17.46
8/8/2014,19
8/11/2014,18.9
8/12/2014,18.9
8/13/2014,19.01
8/14/2014,18.8
8/15/2014,19.04
8/18/2014,19.3
8/19/2014,19.37
8/20/2014,19.25
8/21/2014,19.07
8/22/2014,19.08
8/25/2014,19.11
8/26/2014,19.45
8/27/2014,19.23
8/28/2014,19.39
8/29/2014,19.45
9/2/2014,19.5
9/3/2014,19.68
9/4/2014,20.03
9/5/2014,19.97
9/8/2014,19.79
9/9/2014,19.54
9/10/2014,19.61
9/11/2014,19.41
9/12/2014,19.12
9/15/2014,18.86
9/16/2014,19.14
9/17/2014,19.15
9/18/2014,19.44
9/19/2014,19.08
9/22/2014,18.89
